size,method,kernel_time
128,ifstream,0.0
128,mmap,0.0
128,read,0.0
256,ifstream,0.005
256,mmap,0.0
256,read,0.0
512,ifstream,0.001
512,mmap,0.0
512,read,0.0
1024,ifstream,0.001
1024,mmap,0.0
1024,read,0.0
2048,ifstream,0.005
2048,mmap,0.002
2048,read,0.0
4096,ifstream,0.004
4096,mmap,0.0
4096,read,0.0
8192,ifstream,0.004
8192,mmap,0.0
8192,read,0.0
16384,ifstream,0.001
16384,mmap,0.0
16384,read,0.0
32768,ifstream,0.004
32768,mmap,0.001
32768,read,0.0
65536,ifstream,0.004
65536,mmap,0.0
65536,read,0.0
131072,ifstream,0.005
131072,mmap,0.0
131072,read,0.0
262144,ifstream,0.0
262144,mmap,0.0
262144,read,0.0
524288,ifstream,0.0
524288,mmap,0.0
524288,read,0.0
1048576,ifstream,0.0
1048576,mmap,0.0
1048576,read,0.0
2097152,ifstream,0.0
2097152,mmap,0.0
2097152,read,0.0
4194304,ifstream,0.0
4194304,mmap,0.004
4194304,read,0.0
8388608,ifstream,0.004
8388608,mmap,0.0
8388608,read,0.004
16777216,ifstream,0.0
16777216,mmap,0.004
16777216,read,0.0
33554432,ifstream,0.0
33554432,mmap,0.004
33554432,read,0.004
67108864,ifstream,0.004
67108864,mmap,0.0
67108864,read,0.012
134217728,ifstream,0.02
134217728,mmap,0.012
134217728,read,0.016
268435456,ifstream,0.056
268435456,mmap,0.012
268435456,read,0.056
536870912,ifstream,0.06
536870912,mmap,0.048
536870912,read,0.048
1073741824,ifstream,0.084
1073741824,mmap,0.068
1073741824,read,0.121
2147483648,ifstream,0.196
2147483648,mmap,0.088
2147483648,read,0.204
